popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
85,202093,TRUE,0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966,4,club
49,215973,FALSE,0.627,0.505,6,-12.659,1,0.0549,0.197,0.0149,0.0583,0.146,100.005,4,club
65,188160,FALSE,0.807,0.835,9,-6.849,0,0.0631,0.00148,0.527,0.233,0.349,124.979,4,club
59,233965,FALSE,0.748,0.549,6,-5.447,0,0.065,0.00268,0.792,0.196,0.197,101.033,4,club
55,187173,FALSE,0.683,0.869,0,-4.828,1,0.0515,0.00088,0.836,0.206,0.219,123.983,4,club
58,214634,FALSE,0.714,0.69,8,-5.356,1,0.0875,0.0137,1.17E-05,0.13,0.631,123.037,4,club
49,185142,FALSE,0.774,0.87,6,-5.954,0,0.0646,0.0318,0.907,0.107,0.0461,105.01,4,club
55,199200,FALSE,0.561,0.547,5,-5.345,0,0.0825,0.0622,0.874,0.149,0.202,99.982,4,club
48,203773,FALSE,0.665,0.984,0,-5.202,1,0.115,0.00758,0.776,0.326,0.0392,106.013,4,club
52,170500,FALSE,0.432,0.624,10,-6.731,0,0.093,0.0509,0.0192,0.181,0.262,123.074,5,club
52,195950,FALSE,0.931,0.584,1,-6.013,1,0.0777,0.0116,0.43,0.0899,0.307,119.992,4,club
45,191397,FALSE,0.693,0.792,10,-5.729,1,0.0321,1.74E-05,0.787,0.113,0.553,120.013,4,club
51,197960,FALSE,0.669,0.864,0,-3.611,1,0.0536,0.0742,0.667,0.0803,0.307,110.042,3,club
52,250920,FALSE,0.591,0.885,8,-5.193,1,0.0287,0.00152,0.482,0.112,0.111,109.983,4,club
59,215079,FALSE,0.529,0.979,11,-7.062,1,0.0887,0.147,0.811,0.119,0.088,110.018,4,club
47,224113,FALSE,0.486,0.754,7,-5.932,1,0.05,0.0254,0.699,0.396,0.0854,105.113,4,club
47,211800,FALSE,0.62,0.698,6,-4.38,1,0.0449,0.0168,0,0.153,0.617,90.059,4,club
61,194157,FALSE,0.497,0.825,8,-4.638,0,0.0821,0.0031,0.00496,0.0905,0.235,88.712,4,club
43,58462,FALSE,0.843,0.576,1,-6.668,1,0.158,0.00679,0.905,0.211,0.281,120.052,4,club
57,108448,FALSE,0.911,0.889,8,-3.681,1,0.0872,0.0778,0.0702,0.147,0.4,150.029,4,club
45,215785,FALSE,0.578,0.953,9,-4.559,1,0.056,0.0654,0.769,0.127,0.345,109.014,4,club
45,59973,FALSE,0.69,0.824,1,-7.529,1,0.0377,7.08E-06,0.812,0.0976,0.689,120.046,4,club
57,162711,FALSE,0.725,0.868,2,-2.537,1,0.0364,0.0181,0.359,0.0687,0.0624,117.994,4,club
49,222562,FALSE,0.595,0.879,2,-3.83,1,0.0347,0.00048,0.848,0.115,0.166,110.012,4,club
47,201360,FALSE,0.562,0.819,2,-6.674,1,0.0432,4.13E-05,0.118,0.433,0.476,133.014,4,club
48,232637,FALSE,0.597,0.96,7,-1.94,0,0.0627,9.38E-05,0.89,0.325,0.144,127.016,4,club
52,167053,FALSE,0.648,0.534,8,-6.286,1,0.282,0.00704,0.0551,0.0991,0.683,93.012,4,club
55,206250,FALSE,0.493,0.902,3,-1.467,0,0.0671,0.0391,0.0922,0.0832,0.203,96.009,4,club
57,101946,FALSE,0.604,0.965,7,-2.812,1,0.0665,0.00077,0.802,0.0911,0.0469,113.015,4,club
56,219818,TRUE,0.683,0.779,9,-6.324,1,0.0546,0.0243,0.839,0.119,0.136,103.004,4,club
55,149690,FALSE,0.494,0.746,2,-4.775,1,0.0397,0.0012,0.0291,0.106,0.0398,194.043,4,club
60,272000,FALSE,0.424,0.797,5,-2.321,1,0.0577,0.000969,0.841,0.234,0.223,179.893,4,club
54,225346,FALSE,0.493,0.362,2,-9.56,1,0.0385,0.738,0,0.0966,0.65,129.657,4,club
53,177600,FALSE,0.702,0.842,1,-3.992,1,0.0506,0.0121,0.108,0.157,0.533,99.969,4,club
50,139293,FALSE,0.931,0.624,8,-6.259,1,0.107,0.121,0.00268,0.177,0.0426,119.988,4,club
52,171743,TRUE,0.687,0.974,11,-2.343,1,0.0344,0.000464,0.373,0.0945,0.325,108.974,4,club
52,97779,FALSE,0.875,0.879,5,-10.781,1,0.0817,0.0885,0.644,0.23,0.444,165.533,4,club
52,182857,FALSE,0.625,0.808,8,-3.321,1,0.0333,0.000478,0.28,0.163,0.27,105.005,4,club
56,140347,FALSE,0.567,0.79,0,-6.51,1,0.0996,0.252,0.908,0.105,0.639,180.06,4,club
51,174736,FALSE,0.754,0.701,10,-6.252,0,0.0398,0.192,0.364,0.0709,0.306,114.019,4,club
27,65567,FALSE,0.77,0.398,11,-12.815,1,0.165,0.0257,0.577,0.0753,0.287,175.175,4,club
65,184653,FALSE,0.494,0.556,7,-6.348,1,0.0257,0.433,0,0.0969,0.325,85.986,4,club
